"id","label","associatedNodeID","pos_x","pos_y","pos_z","selected","locked","visibility","positionStatus","vert_number"
"1","Apersonatus_22_37um_Vert5-1","vtkMRMLScalarVolumeNode1",28.3403450752521,27.6894368331241,113.2262315781,TRUE,FALSE,TRUE,"defined",5
"2","Apersonatus_22_37um_Vert5-2","vtkMRMLScalarVolumeNode1",28.5446364393551,27.6945440360109,110.333725280006,TRUE,FALSE,TRUE,"defined",5
"3","Apersonatus_22_37um_Vert5-3","vtkMRMLScalarVolumeNode1",28.6873161222207,27.3042252485896,110.405065121439,TRUE,FALSE,TRUE,"defined",5
"4","Apersonatus_22_37um_Vert5-4","vtkMRMLScalarVolumeNode1",28.9467337274309,27.5998527436975,110.418036001699,TRUE,FALSE,TRUE,"defined",5
"5","Apersonatus_22_37um_Vert5-5","vtkMRMLScalarVolumeNode1",29.68607390228,27.9492306924613,110.17807471688,TRUE,FALSE,TRUE,"defined",5
"6","Apersonatus_22_37um_Vert5-6","vtkMRMLScalarVolumeNode1",29.0551508580512,28.2046137255999,110.258507652367,TRUE,FALSE,TRUE,"defined",5
"7","Apersonatus_22_37um_Vert5-7","vtkMRMLScalarVolumeNode1",29.4851544872991,27.3996599967173,110.390009994214,TRUE,FALSE,TRUE,"defined",5
"8","Apersonatus_22_37um_Vert5-8","vtkMRMLScalarVolumeNode1",29.024559008994,27.8148545583214,111.546502584364,TRUE,FALSE,TRUE,"defined",5
"9","Apersonatus_22_37um_Vert5-9","vtkMRMLScalarVolumeNode1",29.7898409443641,28.1821493249706,111.319512179805,TRUE,FALSE,TRUE,"defined",5
"10","Apersonatus_22_37um_Vert5-10","vtkMRMLScalarVolumeNode1",29.3418199442164,27.87756342092,110.884987691078,TRUE,FALSE,TRUE,"defined",5
"11","Apersonatus_22_37um_Vert5-11","vtkMRMLScalarVolumeNode1",30.8109990108132,28.7644459062437,112.581454409375,TRUE,FALSE,TRUE,"defined",5
"11","Apersonatus_22_37um_Vert5-12","vtkMRMLScalarVolumeNode1",30.8109990108132,28.7644459062437,112.581454409375,TRUE,FALSE,TRUE,"defined",5
