pt1_cam1_X,pt1_cam1_Y,pt2_cam1_X,pt2_cam1_Y
1875.800000,1029.420000,1267.930000,1073.770000
1875.215264,1028.054865,1268.230000,1073.440000
1875.664815,1022.549104,1268.050000,1073.800000
1875.870000,1022.090000,1267.950000,1076.410000
1875.330000,1021.440000,1268.030000,1079.410000
1874.765713,1028.054865,1268.110000,1083.120000
1873.760000,1033.200000,1267.980000,1087.930000
1873.800000,1039.650000,1267.990000,1093.190000
1874.540000,1046.440000,1268.080000,1098.170000
1875.180000,1053.890000,1267.900000,1103.870000
1875.600000,1063.940000,1268.090000,1109.120000
1875.780000,1073.450000,1267.680000,1113.990000
1875.664815,1087.347677,1267.440000,1118.730000
1876.980000,1099.050000,1267.020000,1123.210000
1875.664815,1102.594400,1266.940000,1125.970000
1875.720000,1108.690000,1266.820000,1127.700000
1875.760000,1113.890000,1267.070000,1128.120000
1876.360000,1117.860000,1266.800000,1127.430000
1875.680000,1118.950000,1267.290000,1124.930000
1875.500000,1119.810000,1266.500000,1121.480000
1875.670000,1119.200000,1266.550000,1117.340000
1876.040000,1114.250000,1266.840000,1112.740000
1875.990000,1107.590000,1266.720000,1107.780000
1875.960000,1100.950000,1266.970000,1102.530000
1875.664815,1087.347677,1267.610000,1097.080000
1875.664815,1079.300796,1267.950000,1091.920000
1875.440000,1070.020000,1267.600000,1086.700000
1874.920000,1060.750000,1267.890000,1082.850000
1875.890000,1051.640000,1268.070000,1079.100000
1875.120000,1042.410000,1268.140000,1076.260000
1874.720000,1035.290000,1267.930000,1074.660000
1875.240000,1028.610000,1268.150000,1074.680000
1875.215264,1025.090224,1268.070000,1075.640000
1874.130000,1023.180000,1268.060000,1078.630000
1873.680000,1022.750000,1267.920000,1082.490000
1873.080000,1022.940000,1268.310000,1086.090000
1875.215264,1030.595986,1267.850000,1091.100000
1875.664815,1036.101747,1267.970000,1095.940000
1875.600000,1041.820000,1268.160000,1101.310000
1875.215264,1053.889590,1267.870000,1107.050000
1875.030000,1064.840000,1268.130000,1112.310000
1875.110000,1075.840000,1267.680000,1117.290000
1875.710000,1085.440000,1268.090000,1121.380000
1876.380000,1094.910000,1267.950000,1124.940000
1876.600000,1103.890000,1268.060000,1127.760000
1876.330000,1110.970000,1267.590000,1129.390000
1875.830000,1117.470000,1267.700000,1129.270000
1875.400000,1120.860000,1268.020000,1128.570000
1874.700000,1122.700000,1268.120000,1126.610000
1874.680000,1123.380000,1267.920000,1123.560000
1875.170000,1121.460000,1268.080000,1119.970000
1874.540000,1116.830000,1268.070000,1115.620000
