pt1_cam1_X,pt1_cam1_Y,pt2_cam1_X,pt2_cam1_Y
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
1698.659746,1086.012439,1046.409376,1096.051230
1698.659746,1095.180144,1045.774419,1094.964687
1699.374073,1101.291946,1045.774419,1094.421416
1699.374073,1101.291946,1045.774419,1093.878145
1699.374073,1102.514307,1045.774419,1091.161788
1699.374073,1101.903127,1046.409376,1085.729074
1699.374073,1097.013684,1045.774419,1080.839632
1699.374073,1090.290701,1046.409376,1074.863647
1698.659746,1079.900636,1047.679290,1067.801119
1698.659746,1070.732932,1047.044333,1062.368405
1698.659746,1058.509326,1046.409376,1056.392420
1699.374073,1048.730442,1047.044333,1052.046249
1700.088399,1037.118016,1046.409376,1047.156807
1699.374073,1025.505591,1046.409376,1044.440450
1699.374073,1017.560247,1045.774419,1042.267365
1699.374073,1010.837264,1047.044333,1042.267365
1700.088399,1007.781362,1047.044333,1042.810636
1699.374073,1005.947822,1047.044333,1044.440450
1699.374073,1005.947822,1047.044333,1047.700078
1699.374073,1009.614903,1047.044333,1052.589521
1699.374073,1015.726706,1047.679290,1058.022234
1699.374073,1021.838509,1047.044333,1065.084762
1699.374073,1034.673295,1047.044333,1068.887662
1699.374073,1043.229819,1046.409376,1074.320375
1700.088399,1054.842245,1046.409376,1080.296360
1700.088399,1065.843490,1045.774419,1085.729074
1700.088399,1075.622374,1045.774419,1091.161788
1700.088399,1082.956538,1045.774419,1093.878145
1700.088399,1092.735422,1045.774419,1096.594501
1699.374073,1098.847225,1045.774419,1098.224316
1699.374073,1103.736668,1045.774419,1098.224316
1699.374073,1105.570208,1045.774419,1098.224316
1699.374073,1105.570208,1045.774419,1098.224316
1699.374073,1104.959028,1045.139462,1094.964687
1699.374073,1102.514307,1045.139462,1090.618516
